,,,OMIE - Mercado de electricidad,Fecha Emisión :05/03/2024 - 13:55,Unnamed: 2,06/03/2024,Precios y volúmenes del mercado diario,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Fecha,Hora,Precio marginal en el sistema español (EUR/MWh),Precio marginal en el sistema portugués (EUR/MWh),Energía total de compra sistema español (MWh),Energía total de venta sistema español (MWh),Energía total de compra sistema portugués (MWh),Energía total de venta sistema portugués (MWh),Energía total de compra del mercado Ibérico (MWh),Energía total de venta del mercado Ibérico (MWh),Energía total con bilaterales del mercado Ibérico (MWh),
06/01/2024,3,"    44,20","    44,20","  12469,4","  18237,4","   5901,6","   3509,6","  18371,0","  21747,0","  29217,5",
06/01/2024,4,"    43,50","    43,50","  12524,9","  18082,5","   5571,0","   3389,4","  18095,9","  21471,9","  28426,7",
06/01/2024,5,"    23,99","    23,99","  13079,3","  17994,2","   5384,9","   3245,0","  18464,2","  21239,2","  28542,7",
06/01/2024,6,"    23,99","    23,99","  12947,8","  17888,2","   5301,2","   3135,8","  18249,0","  21024,0","  28333,1",
06/01/2024,7,"    30,51","    30,51","  12637,5","  17657,3","   5302,6","   3057,8","  17940,1","  20715,1","  28183,4",
06/01/2024,8,"    44,40","    44,40","  11824,6","  17177,5","   5423,3","   3446,4","  17247,9","  20623,9","  27807,5",
06/01/2024,9,"    45,80","    45,80","  11275,3","  16922,6","   5653,6","   3382,3","  16928,9","  20304,9","  28077,1",
06/01/2024,10,"    45,00","    45,00","  12646,7","  18635,8","   6074,4","   3461,3","  18721,1","  22097,1","  31099,7",
06/01/2024,11,"    25,00","    25,00","  17848,9","  24007,5","   6197,7","   3415,1","  24046,6","  27422,6","  35457,4",
06/01/2024,12,"     4,00","     4,00","  19238,3","  25836,6","   6960,5","   3460,2","  26198,8","  29296,8","  37703,3",
06/01/2024,13,"     3,20","     3,20","  19629,4","  26410,2","   7132,3","   3449,5","  26761,7","  29859,7","  38039,7",
06/01/2024,14,"     3,20","     3,20","  19945,5","  26907,2","   7279,3","   3415,6","  27224,8","  30322,8","  38566,6",
06/01/2024,15,"     3,20","     3,20","  19741,0","  26733,5","   7208,9","   3314,4","  26949,9","  30047,9","  38378,9",
06/01/2024,16,"     3,20","     3,20","  18730,9","  25998,0","   7162,9","   3132,8","  25893,8","  29130,8","  37214,9",
06/01/2024,17,"    25,00","    25,00","  17355,5","  24165,5","   6555,2","   2982,2","  23910,7","  27147,7","  34940,5",
06/01/2024,18,"    65,00","    65,00","  13861,9","  20449,5","   6296,5","   2945,9","  20158,4","  23395,4","  31303,1",
06/01/2024,19,"    85,96","    85,96","  13071,8","  17915,0","   6744,8","   5138,6","  19816,6","  23053,6","  33338,4",
06/01/2024,20,"    92,05","    92,05","  13963,8","  17955,7","   7238,5","   6437,6","  21202,3","  24393,3","  35162,4",
06/01/2024,21,"    92,14","    92,14","  14332,8","  17696,9","   7381,2","   7022,1","  21714,0","  24719,0","  35872,0",
06/01/2024,22,"    88,00","    88,00","  14346,1","  16872,8","   7236,4","   6834,2","  21582,5","  23707,0","  35693,2",
06/01/2024,23,"    86,57","    86,57","  13270,1","  16715,4","   6814,7","   6553,2","  20084,8","  23268,6","  33762,5",
06/01/2024,24,"    79,87","    79,87","  12260,7","  16940,2","   6477,0","   4446,1","  18737,7","  21386,3","  31304,4",
05/01/2024,1,"    86,08","    86,08","  13392,3","  10647,6","   6340,8","   6552,9","  19733,1","  17200,5","  31205,3",
05/01/2024,2,"    80,51","    80,51","  12070,1","  10539,3","   5736,6","   5533,5","  17806,7","  16072,8","  28771,5",
05/01/2024,3,"    77,01","    77,01","  11334,2","  10984,1","   5320,2","   4752,2","  16654,4","  15736,3","  27113,5",
05/01/2024,4,"    70,67","    70,67","  11021,3","  11392,2","   5043,7","   4383,4","  16065,0","  15775,6","  26233,0",
05/01/2024,5,"    61,10","    61,10","  11041,0","  12056,7","   4923,0","   4199,5","  15964,0","  16256,2","  26081,3",
05/01/2024,6,"    68,26","    68,26","  11036,6","  13129,7","   4857,4","   4559,0","  15894,0","  17688,7","  26401,6",
05/01/2024,7,"    75,00","    75,00","  11875,4","  14004,3","   4951,8","   5391,3","  16827,2","  19395,6","  28437,4",
05/01/2024,8,"    86,39","    86,39","  13440,8","  13798,8","   5358,4","   7821,4","  18799,2","  21620,2","  32104,9",
05/01/2024,9,"    90,88","    90,88","  14818,6","  14898,9","   6052,8","   8726,8","  20871,4","  23625,7","  34997,1",
05/01/2024,10,"    90,00","    90,00","  15790,6","  16659,6","   6892,5","   8844,5","  22683,1","  25504,1","  37461,8",
05/01/2024,11,"    76,47","    76,47","  16104,2","  19172,4","   7381,7","   7134,5","  23485,9","  26306,9","  38708,1",
05/01/2024,12,"    57,68","    57,68","  16253,4","  21192,0","   7537,7","   5697,1","  23791,1","  26889,1","  39150,5",
05/01/2024,13,"    45,87","    45,87","  20639,4","  26741,3","   8858,7","   5854,8","  29498,1","  32596,1","  41011,0",
05/01/2024,14,"    44,07","    44,07","  21918,3","  28191,3","   9274,3","   6099,3","  31192,6","  34290,6","  42820,4",
05/01/2024,15,"    40,00","    40,00","  22172,8","  28691,4","   9542,2","   6121,6","  31715,0","  34813,0","  43393,6",
05/01/2024,16,"    30,55","    37,83","  21676,3","  28324,3","   9677,6","   5942,6","  31353,9","  34266,9","  42910,4",
05/01/2024,17,"    44,37","    44,37","  20045,9","  26484,2","   9213,7","   5688,4","  29259,6","  32172,6","  40504,0",
05/01/2024,18,"    67,00","    67,00","  15065,6","  19875,1","   7550,7","   5654,2","  22616,3","  25529,3","  36892,1",
05/01/2024,19,"    75,47","    75,47","  15198,8","  19382,8","   7826,5","   6555,5","  23025,3","  25938,3","  37434,8",
05/01/2024,20,"    78,19","    78,19","  15796,2","  19733,0","   8173,4","   7149,6","  23969,6","  26882,6","  38389,8",
05/01/2024,21,"    79,94","    79,94","  15761,5","  19793,5","   8298,8","   7179,8","  24060,3","  26973,3","  38489,6",
05/01/2024,22,"    78,26","    78,26","  15322,8","  19356,5","   8072,9","   6952,2","  23395,7","  26308,7","  37640,6",
05/01/2024,23,"    75,00","    75,00","  13869,6","  18745,0","   7586,1","   5623,7","  21455,7","  24368,7","  35206,7",
05/01/2024,24,"    68,00","    68,00","  12321,9","  17550,5","   7112,4","   4796,8","  19434,3","  22347,3","  32582,3",
04/01/2024,1,"    90,39","    90,39","  13201,5","  11810,2","   6204,5","   4265,8","  19406,0","  16076,0","  31031,5",
04/01/2024,2,"    87,00","    87,00","  12208,9","  10986,3","   5812,0","   3704,6","  18020,9","  14690,9","  28846,9",
04/01/2024,3,"    80,21","    80,21","  11492,7","  10599,1","   5392,1","   2955,7","  16884,8","  13554,8","  27383,1",
04/01/2024,4,"    70,10","    70,10","  11302,1","  10364,5","   5101,3","   2708,9","  16403,4","  13073,4","  26670,4",
04/01/2024,5,"    66,86","    66,86","  11486,7","  10167,8","   4967,3","   2771,2","  16454,0","  12939,0","  26651,8",
04/01/2024,6,"    68,14","    68,14","  11517,7","   9997,3","   4934,6","   2940,0","  16452,3","  12937,3","  26948,2",
04/01/2024,7,"    86,74","    86,74","  12955,5","  10190,2","   4978,1","   4182,4","  17933,6","  14372,6","  29065,0",
04/01/2024,8,"    94,51","    94,51","  14871,6","  11118,6","   5347,8","   5539,8","  20219,4","  16658,4","  32594,2",
04/01/2024,9,"    96,00","    96,00","  16174,6","  12251,5","   6096,2","   6458,3","  22270,8","  18709,8","  35939,9",
04/01/2024,10,"    98,13","    98,13","  17384,5","  13564,0","   6909,2","   7168,7","  24293,7","  20732,7","  38552,5",
04/01/2024,11,"    95,00","    95,00","  17437,0","  14657,2","   7398,1","   6616,9","  24835,1","  21274,1","  39440,7",
04/01/2024,12,"    90,35","    90,35","  17388,2","  15615,6","   7436,3","   5647,9","  24824,5","  21263,5","  39376,3",
04/01/2024,13,"    89,00","    89,00","  17073,7","  15297,0","   7455,6","   5671,3","  24529,3","  20968,3","  39011,2",
04/01/2024,14,"    85,96","    85,96","  17276,4","  15622,6","   7363,6","   5625,2","  24640,0","  21247,8","  39193,5",
04/01/2024,15,"    92,11","    92,11","  16902,7","  15516,8","   7327,3","   7298,8","  24230,0","  22815,6","  38659,6",
04/01/2024,16,"    98,62","    98,62","  16533,8","  15258,8","   7544,0","   8346,5","  24077,8","  23605,3","  38193,7",
04/01/2024,17,"    99,50","    99,50","  16439,1","  14139,5","   7595,7","   8403,1","  24034,8","  22542,6","  37890,2",
04/01/2024,18,"   100,00","   100,00","  16882,0","  12338,7","   7758,9","   8768,9","  24640,9","  21107,6","  38471,7",
04/01/2024,19,"   102,57","   102,57","  17833,0","  13322,3","   7957,0","   9169,1","  25790,0","  22491,4","  40105,7",
04/01/2024,20,"   104,00","   104,00","  18328,5","  13803,2","   8316,0","   9373,3","  26644,5","  23176,5","  41190,6",
04/01/2024,21,"   105,18","   105,18","  18679,4","  14271,4","   8394,0","   9334,0","  27073,4","  23605,4","  41704,2",
04/01/2024,22,"   102,42","   102,42","  18000,9","  13614,6","   8207,6","   9125,9","  26208,5","  22740,5","  40577,6",
04/01/2024,23,"    99,41","    99,41","  15933,7","  11621,0","   7759,8","   8604,5","  23693,5","  20225,5","  37318,3",
04/01/2024,24,"    90,39","    90,39","  13375,8","  10504,6","   7184,4","   6587,6","  20560,2","  17092,2","  33446,8",
03/01/2024,1,"     6,80","     6,80","  18354,1","  18024,9","   7230,5","   4784,7","  25584,6","  22809,6","  35466,8",
03/01/2024,2,"     3,20","     3,20","  17635,0","  17142,7","   6930,2","   4647,5","  24565,2","  21790,2","  33944,3",
03/01/2024,3,"     3,20","     3,20","  16987,3","  16304,1","   6593,1","   4501,3","  23580,4","  20805,4","  32604,1",
03/01/2024,4,"     3,20","     3,20","  16576,1","  15706,2","   6265,3","   4360,2","  22841,4","  20066,4","  31710,5",
03/01/2024,5,"     3,20","     3,20","  16573,8","  15647,0","   6124,1","   4229,9","  22697,9","  19876,9","  31513,0",
03/01/2024,6,"     2,21","     2,21","  15135,1","  14267,5","   6056,5","   4103,1","  21191,6","  18370,6","  31899,2",
03/01/2024,7,"     4,78","     4,78","  15915,3","  14605,2","   5757,0","   3962,1","  21672,3","  18567,3","  33527,4",
03/01/2024,8,"    45,42","    45,42","  15369,5","  14096,4","   5787,5","   3823,6","  21157,0","  17920,0","  34201,5",
03/01/2024,9,"    61,92","    61,92","  15728,4","  14371,1","   5852,9","   4253,2","  21581,3","  18624,3","  35392,1",
03/01/2024,10,"    67,00","    67,00","  17144,5","  15458,0","   6744,3","   5193,8","  23888,8","  20651,8","  38195,6",
03/01/2024,11,"    63,60","    63,60","  17937,3","  17164,8","   6874,8","   4410,3","  24812,1","  21575,1","  38998,9",
03/01/2024,12,"    57,10","    58,50","  18104,9","  18062,9","   6984,3","   3789,3","  25089,2","  21852,2","  39139,8",
03/01/2024,13,"    55,00","    63,60","  17677,0","  18576,4","   7034,6","   3839,6","  24711,6","  22416,0","  38921,9",
03/01/2024,14,"    55,42","    63,35","  17496,9","  18800,3","   6938,6","   3743,6","  24435,5","  22543,9","  38650,0",
03/01/2024,15,"    61,00","    63,60","  16961,1","  18561,1","   6862,3","   3667,3","  23823,4","  22228,4","  37991,6",
03/01/2024,16,"    66,03","    66,03","  16303,4","  17455,3","   6941,7","   3701,2","  23245,1","  21156,5","  37250,6",
03/01/2024,17,"    67,52","    67,52","  15584,7","  15283,5","   6979,7","   4212,1","  22564,4","  19495,6","  37070,1",
03/01/2024,18,"    89,57","    89,57","  16432,3","  14414,7","   7539,8","   6227,4","  23972,1","  20642,1","  38110,8",
03/01/2024,19,"    94,20","    94,20","  17425,7","  14473,3","   7869,5","   7353,9","  25295,2","  21827,2","  39869,3",
03/01/2024,20,"   104,35","   104,35","  17654,9","  14439,1","   8169,5","   7917,3","  25824,4","  22356,4","  40781,8",
03/01/2024,21,"   113,26","   113,26","  17938,2","  14760,9","   8178,4","   7887,7","  26116,6","  22648,6","  41085,1",
03/01/2024,22,"   113,26","   113,26","  17555,2","  14283,3","   8068,2","   7872,1","  25623,4","  22155,4","  40305,4",
03/01/2024,23,"    94,20","    94,20","  15932,1","  12815,5","   7494,7","   7143,3","  23426,8","  19958,8","  36992,1",
03/01/2024,24,"    86,58","    86,58","  13337,5","  11284,7","   6881,8","   5466,6","  20219,3","  16751,3","  33143,6",
02/01/2024,1,"    37,80","    37,80","  12324,8","  11641,3","   6433,7","   4111,2","  18758,5","  15752,5","  29742,1",
02/01/2024,2,"    25,00","    25,61","  12931,1","  12463,1","   6462,9","   3924,9","  19394,0","  16388,0","  29382,0",
02/01/2024,3,"     3,99","    20,61","  12999,5","  12531,5","   6379,5","   3841,5","  19379,0","  16373,0","  28763,8",
02/01/2024,4,"    14,00","    14,54","  13424,5","  12956,5","   6478,1","   3940,1","  19902,6","  16896,6","  29155,7",
02/01/2024,5,"    10,00","    13,21","  13395,5","  13009,5","   6725,9","   4059,9","  20121,4","  17069,4","  29344,6",
02/01/2024,6,"    14,54","    14,54","  13649,1","  12774,8","   6372,0","   4194,3","  20021,1","  16969,1","  29626,2",
02/01/2024,7,"    36,29","    36,29","  13983,4","  11872,5","   5426,8","   4716,7","  19410,2","  16589,2","  30329,2",
02/01/2024,8,"    44,70","    44,70","  13311,6","  11378,1","   5499,8","   5115,4","  18811,4","  16493,5","  31023,7",
02/01/2024,9,"    53,78","    53,78","  14539,0","  12218,0","   5728,5","   6644,1","  20267,5","  18862,1","  33623,9",
02/01/2024,10,"    54,23","    54,23","  15840,3","  14133,5","   6364,4","   7039,5","  22204,7","  21173,0","  36272,0",
02/01/2024,11,"    50,00","    50,00","  16531,2","  16735,0","   7327,1","   6550,5","  23858,3","  23285,5","  38498,2",
02/01/2024,12,"    52,20","    52,20","  17115,7","  18047,1","   7477,3","   6350,3","  24593,0","  24397,4","  38843,1",
02/01/2024,13,"    45,00","    45,00","  17375,9","  18575,4","   7691,1","   5846,6","  25067,0","  24422,0","  39595,8",
02/01/2024,14,"    43,00","    43,00","  18264,3","  18908,5","   7820,5","   6008,7","  26084,8","  24917,2","  40905,4",
02/01/2024,15,"    43,00","    43,00","  17918,9","  19049,9","   7745,2","   6149,1","  25664,1","  25199,0","  40570,8",
02/01/2024,16,"    40,99","    40,99","  17733,2","  18729,5","   7803,3","   6139,7","  25536,5","  24869,2","  40173,0",
02/01/2024,17,"    43,66","    43,66","  17120,7","  17299,9","   7806,6","   5977,1","  24927,3","  23277,0","  39255,4",
02/01/2024,18,"    52,20","    52,20","  15521,7","  15756,1","   7694,7","   6980,3","  23216,4","  22736,4","  37705,4",
02/01/2024,19,"    57,77","    57,77","  16366,9","  15673,7","   7627,0","   7670,0","  23993,9","  23343,7","  39081,6",
02/01/2024,20,"    62,45","    62,45","  16757,8","  15956,4","   8015,9","   8446,3","  24773,7","  24402,7","  40070,7",
02/01/2024,21,"    58,00","    58,00","  17471,1","  15625,0","   8170,8","   7809,7","  25641,9","  23434,7","  40931,9",
02/01/2024,22,"    52,83","    52,83","  17172,6","  15306,8","   8484,0","   7204,8","  25656,6","  22511,6","  40727,1",
02/01/2024,23,"    46,26","    46,26","  15686,4","  14386,8","   8255,1","   6409,7","  23941,5","  20796,5","  38038,1",
02/01/2024,24,"    40,10","    40,10","  15044,9","  14229,0","   7989,3","   5660,2","  23034,2","  19889,2","  36294,7",
01/01/2024,1,"    63,33","    63,33","  10670,8","   8744,9","   5195,1","   4069,0","  15865,9","  12813,9","  26156,5",
01/01/2024,2,"    50,09","    50,09","  10030,7","   8671,4","   5066,0","   3373,3","  15096,7","  12044,7","  25072,3",
01/01/2024,3,"    47,50","    47,50","   9223,7","   8280,1","   4960,2","   2851,8","  14183,9","  11131,9","  23682,0",
01/01/2024,4,"    43,50","    43,50","   8835,1","   8209,7","   5059,6","   2633,0","  13894,7","  10842,7","  23035,9",
01/01/2024,5,"    42,50","    42,50","   9012,4","   8101,9","   4800,0","   2427,5","  13812,4","  10529,4","  22707,4",
01/01/2024,6,"    42,09","    42,09","   9194,9","   8165,9","   4655,5","   2401,5","  13850,4","  10567,4","  22748,9",
01/01/2024,7,"    42,50","    42,50","   9221,8","   8209,1","   4617,3","   2578,0","  13839,1","  10787,1","  22862,1",
01/01/2024,8,"    42,59","    42,59","   9515,8","   8387,9","   4679,5","   2755,4","  14195,3","  11143,3","  23434,7",
01/01/2024,9,"    43,37","    43,37","   9865,6","   8792,6","   4742,9","   2763,9","  14608,5","  11556,5","  23963,9",
01/01/2024,10,"    42,29","    42,29","  12385,1","  11450,9","   4930,8","   2813,0","  17315,9","  14263,9","  26256,1",
01/01/2024,11,"    25,00","    35,61","  14710,8","  14268,8","   5347,3","   2737,3","  20058,1","  17006,1","  29539,8",
01/01/2024,12,"     3,90","    29,80","  16702,1","  16306,1","   5560,0","   2950,0","  22262,1","  19256,1","  32230,2",
01/01/2024,13,"     3,20","     3,20","  17005,8","  17465,7","   6351,7","   2885,8","  23357,5","  20351,5","  33446,6",
01/01/2024,14,"     2,06","     2,06","  17372,9","  18071,1","   6445,0","   3034,3","  23817,9","  21105,4","  33939,6",
01/01/2024,15,"     1,73","     1,73","  17446,7","  18622,9","   6121,8","   3154,7","  23568,5","  21777,6","  33607,4",
01/01/2024,16,"     5,72","     5,72","  16443,1","  21278,7","   6080,1","   3163,6","  22523,2","  24442,3","  32182,0",
01/01/2024,17,"    18,49","    18,49","  15907,1","  18805,7","   5773,9","   2958,5","  21681,0","  21764,2","  31319,1",
01/01/2024,18,"    37,00","    37,00","  13860,1","  14707,3","   5928,3","   2828,7","  19788,4","  17536,0","  29717,7",
01/01/2024,19,"    47,50","    47,50","  12075,8","  11724,0","   5878,1","   3880,4","  17953,9","  15604,4","  30436,8",
01/01/2024,20,"    54,97","    54,97","  12903,6","  11298,2","   6351,6","   4992,7","  19255,2","  16290,9","  32409,7",
01/01/2024,21,"    60,90","    60,90","  13304,7","  11132,9","   6476,0","   5410,8","  19780,7","  16543,7","  33286,8",
01/01/2024,22,"    60,00","    60,00","  13521,2","  11251,8","   6446,4","   5478,8","  19967,6","  16730,6","  33279,6",
01/01/2024,23,"    47,50","    47,50","  12561,8","  11154,9","   6408,6","   4578,5","  18970,4","  15733,4","  31609,1",
01/01/2024,24,"    42,09","    42,09","  11666,5","  11000,1","   6560,9","   3990,3","  18227,4","  14990,4","  30288,5",
31/12/2023,1,"    18,21","    18,21","  14674,8","  14350,9","   6911,4","   4727,7","  21586,2","  19078,6","  33138,9",
31/12/2023,2,"     5,00","     5,00","  15167,9","  15592,2","   6487,1","   4619,0","  21655,0","  20211,2","  30982,9",
31/12/2023,3,"     4,00","     4,00","  14546,0","  13429,6","   6344,1","   4577,9","  20890,1","  18007,5","  29652,5",
31/12/2023,4,"     0,31","     0,31","  14207,4","  13398,0","   6598,5","   4577,6","  20805,9","  17975,6","  29315,5",
31/12/2023,5,"     0,00","     0,00","  14422,8","  13357,7","   6409,8","   4560,0","  20832,6","  17917,7","  29245,5",
31/12/2023,6,"     0,00","     0,00","  14503,6","  13398,3","   6339,0","   4572,2","  20842,6","  17970,5","  29241,5",
31/12/2023,7,"     0,01","     0,01","  14411,6","  13431,9","   6519,2","   4541,7","  20930,8","  17973,6","  29416,6",
31/12/2023,8,"     4,00","     4,00","  15258,6","  13673,9","   6050,6","   4398,3","  21309,2","  18072,2","  30067,7",
31/12/2023,9,"     4,30","     4,30","  15345,4","  14107,4","   6066,2","   4068,9","  21411,6","  18176,3","  30575,8",
31/12/2023,10,"    10,47","    10,47","  16619,7","  15949,5","   6299,7","   3971,4","  22919,4","  19920,9","  32775,7",
31/12/2023,11,"    14,00","    18,21","  17959,6","  17798,7","   6669,2","   3925,2","  24628,8","  21723,9","  34800,6",
31/12/2023,12,"    13,98","    19,32","  18641,6","  18287,6","   6607,5","   3863,5","  25249,1","  22151,1","  35509,8",
31/12/2023,13,"    12,01","    12,01","  18565,6","  19021,1","   6664,3","   3744,4","  25229,9","  22765,5","  35518,2",
31/12/2023,14,"     7,21","    18,21","  18713,5","  19196,3","   6932,6","   3647,6","  25646,1","  22843,9","  35992,0",
31/12/2023,15,"    10,06","    18,21","  16331,5","  17085,7","   6744,6","   3459,6","  23076,1","  20545,3","  35784,5",
31/12/2023,16,"    13,98","    18,21","  15817,4","  16310,1","   6277,4","   3127,4","  22094,8","  19437,5","  34440,7",
31/12/2023,17,"    38,50","    42,25","  14670,3","  14583,3","   6001,3","   2851,3","  20671,6","  17434,6","  32761,5",
31/12/2023,18,"    63,84","    65,04","  12202,6","  12115,6","   6027,1","   2877,1","  18229,7","  14992,7","  30788,9",
31/12/2023,19,"    75,01","    75,01","  13790,0","  12109,8","   6553,2","   4996,4","  20343,2","  17106,2","  33775,2",
31/12/2023,20,"   101,30","   101,30","  14736,3","  11848,8","   7021,1","   6671,6","  21757,4","  18520,4","  35404,2",
31/12/2023,21,"    92,97","    92,97","  14369,6","  11297,3","   6953,6","   6788,9","  21323,2","  18086,2","  34829,2",
31/12/2023,22,"    85,49","    85,49","  13838,3","  10413,5","   6388,7","   6576,5","  20227,0","  16990,0","  32818,5",
31/12/2023,23,"    74,74","    74,74","  12098,1","   9986,4","   5946,9","   4821,6","  18045,0","  14808,0","  29494,2",
31/12/2023,24,"    71,96","    71,96","  10946,3","   9422,1","   5628,0","   3915,2","  16574,3","  13337,3","  27462,7",
30/12/2023,1,"    86,31","    86,31","  11595,4","   8754,9","   5638,5","   5334,0","  17233,9","  14088,9","  28676,5",
30/12/2023,2,"    82,33","    82,33","  10672,5","   8765,2","   5189,1","   3951,4","  15861,6","  12716,6","  26492,8",
30/12/2023,3,"    78,77","    78,77","  10112,7","   8974,3","   4738,5","   2731,9","  14851,2","  11706,2","  24782,5",
30/12/2023,4,"    70,00","    70,00","   9890,7","   9044,1","   4483,8","   2185,4","  14374,5","  11229,5","  23885,6",
30/12/2023,5,"    62,06","    62,06","   9688,6","   8737,7","   4297,9","   2011,8","  13986,5","  10749,5","  23341,5",
30/12/2023,6,"    59,01","    59,01","   9809,8","   8865,3","   4229,1","   1936,6","  14038,9","  10801,9","  23441,2",
30/12/2023,7,"    76,02","    76,02","   9871,1","   8015,5","   4194,4","   2813,0","  14065,5","  10828,5","  23826,3",
30/12/2023,8,"    79,39","    79,39","  10612,8","   7531,4","   4306,9","   4197,3","  14919,7","  11728,7","  25556,9",
30/12/2023,9,"    86,31","    86,31","  11687,7","   7621,2","   4529,5","   5405,0","  16217,2","  13026,2","  27370,3",
30/12/2023,10,"    88,21","    88,21","  12733,5","   9640,1","   4884,1","   4786,5","  17617,6","  14426,6","  29896,4",
30/12/2023,11,"    76,02","    76,02","  14025,2","  12694,7","   5245,7","   3385,2","  19270,9","  16079,9","  31493,4",
30/12/2023,12,"    58,10","    58,10","  14964,9","  14068,1","   5461,0","   3305,8","  20425,9","  17373,9","  33250,7",
30/12/2023,13,"    52,99","    52,99","  15570,6","  15082,9","   6127,6","   3563,3","  21698,2","  18646,2","  34773,6",
30/12/2023,14,"    48,00","    48,00","  16344,6","  15854,7","   6260,2","   3698,1","  22604,8","  19552,8","  35975,1",
30/12/2023,15,"    42,04","    42,04","  17327,6","  16543,0","   6120,6","   3878,2","  23448,2","  20421,2","  36865,9",
30/12/2023,16,"    46,49","    46,49","  16703,8","  16678,9","   6093,1","   3954,6","  22796,9","  20633,5","  35939,9",
30/12/2023,17,"    54,10","    54,10","  14452,4","  14272,1","   6123,7","   3924,4","  20576,1","  18196,5","  33253,0",
30/12/2023,18,"    75,00","    75,00","  13403,6","  11984,2","   5672,9","   4468,1","  19076,5","  16452,3","  31258,1",
30/12/2023,19,"    84,00","    84,00","  14670,7","  11571,7","   6265,3","   6266,3","  20936,0","  17838,0","  33816,3",
30/12/2023,20,"    81,50","    81,50","  15481,9","  11979,1","   6795,2","   6922,0","  22277,1","  18901,1","  35507,9",
30/12/2023,21,"    80,00","    80,00","  15652,5","  12265,4","   6818,7","   6829,8","  22471,2","  19095,2","  35904,8",
30/12/2023,22,"    75,00","    75,00","  15344,7","  12805,4","   6724,9","   5888,2","  22069,6","  18693,6","  35516,2",
30/12/2023,23,"    56,85","    56,85","  14044,3","  12288,6","   6881,8","   5261,5","  20926,1","  17550,1","  33831,2",
30/12/2023,24,"    43,23","    43,23","  15164,1","  13447,5","   6727,1","   5096,0","  21891,2","  18543,5","  34129,7",
29/12/2023,1,"   102,07","   102,07","  11734,8","   8611,6","   6109,3","   6041,5","  17844,1","  14653,1","  29560,5",
29/12/2023,2,"    95,15","    95,15","  10983,3","   8132,3","   5516,8","   5176,8","  16500,1","  13309,1","  27233,1",
29/12/2023,3,"    94,37","    94,37","  10951,0","   8669,1","   5119,9","   4210,8","  16070,9","  12879,9","  25630,3",
29/12/2023,4,"    93,90","    93,90","  10563,1","   8541,5","   4860,9","   3691,5","  15424,0","  12233,0","  24779,6",
29/12/2023,5,"    87,38","    87,38","  10346,6","   8310,7","   4738,6","   3537,5","  15085,2","  11848,2","  24623,2",
29/12/2023,6,"    87,00","    87,00","  10612,5","   8475,7","   4689,8","   3589,6","  15302,3","  12065,3","  25134,1",
29/12/2023,7,"    93,00","    93,00","  11505,6","   8880,1","   4744,1","   4132,6","  16249,7","  13012,7","  27082,0",
29/12/2023,8,"   105,19","   105,19","  13369,0","   9333,7","   5123,2","   5921,5","  18492,2","  15255,2","  30778,2",
29/12/2023,9,"   109,62","   109,62","  15154,7","  11014,2","   5744,5","   6648,0","  20899,2","  17662,2","  33864,9",
29/12/2023,10,"   107,79","   107,79","  15532,3","  12061,2","   6424,5","   6658,6","  21956,8","  18719,8","  35539,9",
29/12/2023,11,"   105,00","   105,00","  15250,9","  12811,9","   6713,9","   5915,9","  21964,8","  18727,8","  36133,4",
29/12/2023,12,"    96,99","    96,99","  14936,0","  12893,7","   6679,5","   5438,8","  21615,5","  18332,5","  35919,5",
29/12/2023,13,"   100,00","   100,00","  15940,7","  14252,1","   6716,8","   5122,4","  22657,5","  19374,5","  35594,9",
29/12/2023,14,"    97,00","    97,00","  15821,8","  14156,0","   6603,5","   4986,3","  22425,3","  19142,3","  35327,3",
29/12/2023,15,"    94,02","    94,02","  14465,1","  13523,2","   6459,4","   4118,3","  20924,5","  17641,5","  34953,0",
29/12/2023,16,"    95,21","    95,21","  14377,1","  12783,7","   6557,2","   4820,6","  20934,3","  17604,3","  34592,9",
29/12/2023,17,"   103,00","   103,00","  14771,0","  12719,4","   6609,6","   5331,2","  21380,6","  18050,6","  34620,5",
29/12/2023,18,"   110,13","   110,13","  15656,5","  12878,4","   6878,2","   6326,3","  22534,7","  19204,7","  35645,0",
29/12/2023,19,"   122,40","   122,40","  16426,1","  12682,6","   7315,2","   7867,7","  23741,3","  20550,3","  37307,3",
29/12/2023,20,"   123,76","   123,76","  16944,6","  13044,8","   7593,0","   8301,8","  24537,6","  21346,6","  38188,2",
29/12/2023,21,"   126,72","   126,72","  17313,0","  13275,4","   7638,6","   8485,2","  24951,6","  21760,6","  38602,8",
29/12/2023,22,"   123,24","   123,24","  16714,0","  12992,3","   7496,8","   8027,5","  24210,8","  21019,8","  37630,2",
29/12/2023,23,"   109,00","   109,00","  15001,3","  12408,7","   7154,3","   6555,9","  22155,6","  18964,6","  35046,9",
29/12/2023,24,"   102,07","   102,07","  12754,2","  10075,4","   6611,7","   6099,5","  19365,9","  16174,9","  31637,5",
28/12/2023,1,"    95,62","    95,62","  11841,9","   8473,1","   6152,7","   6099,5","  17994,6","  14572,6","  28826,9",
28/12/2023,2,"    87,99","    87,99","  10840,3","   8282,1","   5604,8","   4742,0","  16445,1","  13024,1","  26632,4",
28/12/2023,3,"    78,56","    78,56","  10400,5","   8148,4","   5144,5","   3974,6","  15545,0","  12123,0","  25255,5",
